pool,week,import
GBFXS,2023-07-16,2718
GBGMO,2021-09-05,185
GBGMO,2024-02-04,108
GBLDS,2018-11-04,287
GBLDS,2023-07-02,160
GBLGP,2022-11-06,1723
GBLPL,2020-05-17,583
GBMNC,2017-05-28,849
GBSOU,2018-07-01,720
GBSOU,2019-04-28,148
GBWID,2018-12-02,705
GBLDS,2023-11-05,139
GBLPL,2020-08-23,505
GBSFD,2018-12-30,72
GBSFD,2019-03-24,191
GBSOU,2024-05-26,613
GBTEE,2018-04-15,283
GBBFS,2020-12-27,198
GBBFS,2023-11-05,55
GBBGH,2023-08-13,448
GBCDF,2021-05-30,105
GBCDF,2023-12-03,58
GBDCT,2024-05-12,79
GBFXS,2019-12-08,4177
GBFXS,2022-06-19,4724
GBFXS,2023-05-28,2623
GBGMO,2019-12-15,208
GBGMO,2024-04-14,116
GBLDS,2021-03-21,244
GBLGP,2017-03-12,1465
GBLGP,2018-12-02,1455
GBLGP,2020-08-09,1316
GBLGP,2024-05-26,2286
GBLPL,2017-04-23,365
GBLPL,2020-09-13,400
GBMNC,2019-06-09,486
GBMNC,2020-04-19,237
GBMNC,2020-10-11,340
GBMNC,2020-10-18,510
GBMNC,2022-03-20,386
GBSFD,2018-02-25,163
GBSOU,2018-05-20,283
GBSOU,2020-04-26,305
GBSOU,2021-11-14,415
GBSOU,2023-06-25,646
GBSSH,2022-06-12,154
GBBGH,2017-12-24,902
GBCDF,2020-06-14,54
GBFXS,2024-07-07,3358
GBLPL,2017-03-26,277
GBLPL,2022-09-25,39
GBSOU,2022-03-13,428
GBSSH,2020-12-06,210
GBBGH,2024-10-20,485
GBSSH,2017-12-31,10
GBBFS,2021-06-27,181
GBCDF,2019-07-28,125
GBDCT,2019-12-08,359
GBDPT,2024-10-27,249
GBFXS,2019-02-03,4499
GBFXS,2022-02-13,4298
GBFXS,2024-08-18,3576
GBGMO,2021-11-14,170
GBLDS,2018-02-18,269
GBLDS,2019-03-17,207
GBLDS,2019-09-22,273
GBLDS,2019-11-17,216
GBLGP,2023-05-21,1862
GBLPL,2018-08-05,549
GBSFD,2019-09-22,210
GBSFD,2020-05-24,171
GBSOU,2018-05-27,199
GBSOU,2023-01-22,637
GBDPT,2021-12-12,46
GBLPL,2024-02-04,431
GBSOU,2018-12-16,165
GBSSH,2017-08-13,162
GBSSH,2022-06-26,151
GBDCT,2024-04-07,80
GBLDS,2017-07-02,217
GBDPT,2021-08-29,67
GBCDF,2018-01-07,0
GBBGH,2021-10-31,486
GBBGH,2022-02-20,543
GBDPT,2021-07-18,70
GBGMO,2020-07-26,236
GBGMO,2022-05-01,135
GBGMO,2022-12-18,64
GBGMO,2023-04-16,100
GBGMO,2024-10-13,145
GBLDS,2019-04-14,214
GBLDS,2020-02-09,199
GBLGP,2020-08-02,1245
GBLPL,2019-11-03,573
GBLPL,2020-11-08,401
GBLPL,2023-12-17,291
GBMNC,2018-12-16,523
GBMNC,2019-03-10,478
GBSFD,2018-11-18,232
GBSFD,2021-04-18,204
GBSFD,2022-06-05,177
GBSOU,2022-07-17,364
GBTEE,2024-09-22,188
GBWID,2022-09-25,634
GBCDF,2022-03-20,74
GBSFD,2018-04-01,186
GBSOU,2018-03-04,454
GBSOU,2023-08-20,651
GBDPT,2024-11-10,301
GBTEE,2024-01-28,167
GBBGH,2024-06-02,397
GBDCT,2019-01-20,399
GBBGH,2019-08-18,738
GBBGH,2019-09-29,692
GBBGH,2022-09-25,509
GBCDF,2019-03-03,83
GBCDF,2022-05-15,95
GBDCT,2017-05-21,492
GBDCT,2018-08-12,419
GBDCT,2020-03-01,204
GBDCT,2021-06-06,137
GBGMO,2023-06-25,182
GBLDS,2021-09-05,127
GBLGP,2019-11-10,1127
GBLGP,2022-06-12,1877
GBLPL,2021-08-29,538
GBLPL,2022-08-21,387
GBLPL,2023-11-19,419
GBMNC,2017-04-30,839
GBMNC,2017-08-20,712
GBMNC,2019-02-10,468
GBSFD,2017-11-19,232
GBSFD,2019-09-08,191
GBSOU,2017-01-22,298
GBTEE,2020-03-08,336
GBBFS,2023-05-28,73
GBDPT,2024-12-22,241
GBSSH,2019-08-11,222
GBSSH,2021-02-14,80
GBTEE,2020-03-15,242
GBBGH,2023-07-30,376
GBBGH,2024-07-07,362
GBDCT,2019-03-03,350
GBGMO,2021-07-25,179
GBGMO,2022-07-10,119
GBGMO,2023-01-29,186
GBLDS,2017-11-26,349
GBLGP,2018-07-29,1221
GBLGP,2021-10-10,2930
GBLPL,2019-01-13,598
GBLPL,2019-11-24,664
GBLPL,2020-08-09,340
GBLPL,2023-01-01,165
GBMNC,2023-05-21,343
GBSOU,2018-04-22,446
GBSOU,2022-08-28,577
GBSSH,2023-10-22,120
GBTEE,2020-01-19,257
GBTEE,2022-07-17,205
GBWID,2019-06-09,685
GBWID,2022-01-16,297
GBWID,2022-02-06,356
GBWID,2022-07-17,326
GBWID,2022-11-27,264
GBBGH,2017-12-03,1146
GBSSH,2018-09-23,185
GBTEE,2018-12-16,275
GBWID,2022-04-24,291
GBWID,2023-06-04,294
GBDPT,2021-06-06,46
GBSOU,2023-06-18,578
GBWID,2022-12-25,338
GBBFS,2017-12-10,95
GBBFS,2018-12-16,152
GBBFS,2021-05-16,144
GBBGH,2017-10-22,1065
GBBGH,2023-01-29,407
GBCDF,2022-09-25,62
GBCDF,2022-10-23,76
GBDCT,2018-05-06,428
GBDCT,2021-07-11,128
GBFXS,2018-09-16,4902
GBFXS,2022-10-16,3990
GBGMO,2018-12-16,241
GBGMO,2019-03-24,312
GBGMO,2020-03-22,227
GBGMO,2020-07-12,239
GBGMO,2021-04-11,236
GBLGP,2018-07-22,1174
GBLPL,2019-01-27,628
GBLPL,2021-10-10,533
GBLPL,2023-09-17,351
GBMNC,2023-01-29,263
GBMNC,2023-11-05,258
GBSFD,2019-03-03,227
GBSFD,2024-02-25,466
GBSOU,2018-05-13,260
GBSOU,2022-09-04,595
GBSSH,2018-03-11,135
GBTEE,2024-01-07,173
GBWID,2017-11-26,579
GBWID,2019-11-24,493
GBWID,2020-07-12,387
GBBFS,2023-12-03,63
GBCDF,2021-08-15,106
GBDPT,2021-07-11,80
GBLDS,2021-02-21,170
GBLPL,2019-12-22,497
GBMNC,2019-05-26,519
GBSFD,2024-07-28,356
GBSFD,2024-09-29,351
GBWID,2024-12-15,279
GBCDF,2024-06-30,14
GBBFS,2019-12-29,61
GBBFS,2024-03-17,120
GBBGH,2022-07-24,522
GBCDF,2020-09-20,144
GBCDF,2025-01-05,39
GBDCT,2019-09-08,325
GBDCT,2020-08-23,309
GBDCT,2023-06-04,52
GBGMO,2020-12-27,194
GBGMO,2021-05-02,196
GBGMO,2024-10-06,106
GBLDS,2019-11-03,216
GBLGP,2020-06-21,965
GBLGP,2022-06-26,2427
GBLGP,2022-08-28,1976
GBLGP,2023-01-22,1542
GBLGP,2023-12-31,621
GBLPL,2017-09-03,247
GBLPL,2020-05-03,595
GBLPL,2020-06-21,297
GBMNC,2023-06-25,218
GBSFD,2017-12-24,200
GBSFD,2018-09-16,240
GBSFD,2018-10-07,201
GBSOU,2023-06-04,660
GBSSH,2017-04-09,110
GBSSH,2017-10-22,120
GBSSH,2019-08-25,186
GBTEE,2017-06-25,241
GBTEE,2020-05-03,253
GBTEE,2023-08-20,248
GBWID,2019-11-03,543
GBWID,2021-09-19,375
GBSSH,2019-12-29,26
GBTEE,2017-12-31,111
GBWID,2020-06-14,324
GBSSH,2022-09-25,107
GBTEE,2022-07-24,219
GBCDF,2024-01-07,8
GBCDF,2018-09-09,0
GBBFS,2017-02-26,127
GBBGH,2023-09-24,500
GBCDF,2019-06-30,105
GBCDF,2021-06-06,127
GBCDF,2022-02-13,65
GBDCT,2017-07-23,388
GBDCT,2020-11-22,383
GBDCT,2021-04-25,302
GBFXS,2020-01-05,2597
GBGMO,2019-11-03,259
GBGMO,2021-06-27,159
GBGMO,2022-05-22,114
GBGMO,2022-08-07,140
GBLDS,2019-04-28,211
GBLDS,2019-05-26,302
GBLGP,2019-06-09,1556
GBLGP,2021-07-11,2349
GBLPL,2017-02-12,297
GBLPL,2018-08-19,469
GBMNC,2020-05-03,389
GBMNC,2021-05-30,367
GBMNC,2021-08-29,401
GBSFD,2020-07-12,171
GBSFD,2022-09-25,356
GBSFD,2023-11-19,412
GBSOU,2018-06-03,260
GBSOU,2019-02-17,208
GBSOU,2024-09-08,640
GBTEE,2017-09-24,309
GBTEE,2021-06-27,370
GBWID,2017-03-12,433
GBWID,2020-04-12,227
GBWID,2020-06-07,347
GBWID,2022-09-18,400
GBDCT,2023-01-29,45
GBDPT,2022-09-11,123
GBLDS,2017-08-20,282
GBTEE,2024-01-21,190
GBSOU,2019-10-13,115
GBLDS,2024-04-07,138
GBBFS,2018-01-07,111
GBBGH,2020-03-15,554
GBBGH,2021-11-28,597
GBDCT,2017-11-26,375
GBDCT,2020-12-13,256
GBFXS,2019-03-17,4182
GBGMO,2018-04-22,200
GBGMO,2019-09-22,285
GBGMO,2022-01-30,130
GBLGP,2020-09-13,2353
GBLGP,2022-04-17,1934
GBLGP,2022-11-20,1623
GBLPL,2021-11-28,391
GBLPL,2023-07-09,346
GBMNC,2019-02-03,462
GBMNC,2020-07-12,436
GBSSH,2017-07-16,156
GBSSH,2020-05-24,94
GBSSH,2022-02-06,146
GBSSH,2023-07-30,95
GBTEE,2023-09-03,200
GBWID,2022-07-10,258
GBDCT,2023-06-18,71
GBDCT,2024-04-28,80
GBFXS,2018-04-22,4122
GBLDS,2018-07-22,261
GBLDS,2024-11-10,187
GBSFD,2019-04-21,160
GBLDS,2024-12-01,151
GBTEE,2023-02-05,135
GBBGH,2023-11-05,393
GBBGH,2024-06-16,526
GBCDF,2021-04-04,101
GBDCT,2017-04-30,504
GBDCT,2020-03-29,192
GBDCT,2021-05-23,203
GBFXS,2024-07-28,3320
GBGMO,2018-08-19,265
GBGMO,2019-09-15,296
GBGMO,2020-04-19,141
GBGMO,2020-05-31,180
GBLGP,2021-11-07,1578
GBLGP,2022-07-03,2320
GBLGP,2025-01-05,708
GBLPL,2018-12-30,209
GBLPL,2020-12-06,430
GBMNC,2017-05-14,717
GBMNC,2020-05-31,325
GBMNC,2023-04-30,304
GBSOU,2017-03-05,657
GBSOU,2024-11-17,568
GBBFS,2017-10-01,198
GBBGH,2024-02-25,559
GBDCT,2018-06-10,387
GBDCT,2022-05-22,54
GBLPL,2018-10-14,641
GBSFD,2019-10-06,171
GBSSH,2018-06-24,146
GBLPL,2024-05-26,293
GBBFS,2017-09-10,275
GBBGH,2021-02-07,540
GBBGH,2022-10-30,672
GBBGH,2024-05-19,493
GBDCT,2019-03-31,285
GBDCT,2022-03-06,140
GBDPT,2020-05-10,1
GBFXS,2023-07-02,2625
GBGMO,2023-01-22,145
GBGMO,2024-01-21,142
GBLDS,2022-05-08,156
GBLGP,2022-02-20,1899
GBLPL,2022-09-11,463
GBMNC,2017-11-26,758
GBMNC,2019-09-01,342
GBMNC,2023-06-04,231
GBSFD,2019-06-23,258
GBSOU,2018-01-14,292
GBSOU,2020-01-19,133
GBSOU,2022-05-29,489
GBSSH,2019-11-03,166
GBSSH,2020-01-05,51
GBTEE,2017-06-04,242
GBTEE,2019-01-06,159
GBTEE,2019-03-24,298
GBTEE,2022-02-27,255
GBTEE,2024-03-31,242
GBWID,2023-10-01,311
GBCDF,2021-01-03,25
GBSOU,2017-10-22,429
GBSOU,2021-01-24,308
GBSSH,2024-01-07,34
GBBFS,2021-08-22,139
GBBFS,2021-12-26,149
GBDCT,2018-07-08,356
GBFXS,2023-09-10,3040
GBFXS,2023-10-22,2735
GBGMO,2020-07-05,137
GBLDS,2017-04-30,419
GBLGP,2019-07-14,1359
GBLPL,2024-02-11,467
GBLPL,2024-12-08,432
GBMNC,2022-04-17,206
GBMNC,2023-04-16,242
GBSFD,2021-03-21,217
GBSOU,2019-01-20,229
GBSOU,2021-05-23,365
GBSOU,2021-08-01,523
GBSOU,2021-11-07,361
GBTEE,2018-05-06,234
GBTEE,2019-04-28,272
GBWID,2020-11-01,590
GBWID,2023-07-16,316
GBCDF,2019-03-31,76
GBMNC,2017-06-04,554
GBSOU,2022-04-10,504
GBWID,2022-06-05,262
GBLDS,2022-08-07,141
GBBFS,2020-07-26,132
GBBGH,2017-07-30,1078
GBBGH,2018-02-25,894
GBBGH,2020-05-31,294
GBCDF,2020-01-19,178
GBCDF,2022-07-24,100
GBCDF,2024-08-11,54
GBDCT,2017-07-02,109
GBDCT,2018-03-11,355
GBDCT,2021-02-28,324
GBFXS,2022-01-23,4380
GBFXS,2024-02-11,3795
GBGMO,2017-01-29,214
GBGMO,2019-07-07,354
GBLDS,2018-06-10,287
GBLDS,2018-07-08,335
GBLDS,2023-07-30,148
GBLGP,2023-02-19,1610
GBLGP,2024-05-19,1323
GBLPL,2017-10-08,312
GBLPL,2018-05-20,581
GBLPL,2021-06-06,356
GBMNC,2017-11-19,785
GBMNC,2019-08-11,490
GBMNC,2023-09-24,323
GBSOU,2019-09-15,159
GBSOU,2023-12-24,352
GBSOU,2024-09-29,522
GBWID,2019-10-06,520
GBWID,2022-03-20,331
GBWID,2025-01-05,215
GBMNC,2017-04-02,678
GBSSH,2023-08-13,33
GBTEE,2023-06-18,296
GBLPL,2023-08-20,299
GBMNC,2022-12-04,252
GBLDS,2023-12-10,157
GBBGH,2017-04-23,918
GBBGH,2019-04-21,569
GBCDF,2024-12-15,84
GBDCT,2022-05-29,71
GBDCT,2024-08-25,97
GBDPT,2024-06-30,159
GBGMO,2019-02-10,204
GBGMO,2020-08-16,260
GBLGP,2019-09-01,1357
GBLGP,2024-08-04,1325
GBLPL,2017-11-19,362
GBLPL,2021-01-24,406
GBMNC,2018-01-07,334
GBSOU,2023-07-16,522
GBSSH,2017-11-26,137
GBSSH,2019-09-01,142
GBWID,2018-11-25,566
GBWID,2020-03-15,408
GBWID,2022-05-22,307
GBBFS,2018-03-18,197
GBSSH,2019-02-10,200
GBSSH,2021-06-13,113
GBTEE,2020-03-22,223
GBWID,2023-08-06,358
GBCDF,2023-07-30,50
GBLDS,2023-03-19,71
GBLPL,2023-07-02,203
GBBGH,2023-09-17,547
GBCDF,2020-03-22,135
GBCDF,2020-11-01,105
GBCDF,2022-01-30,80
GBDCT,2017-02-26,334
GBDPT,2022-01-16,135
GBLDS,2018-07-15,251
GBLDS,2021-03-07,163
GBLDS,2024-12-22,103
GBLGP,2023-05-28,1743
GBLPL,2019-10-06,609
GBLPL,2021-09-05,475
GBLPL,2022-04-10,525
GBMNC,2019-12-15,325
GBSFD,2019-06-30,220
GBSFD,2020-11-29,174
GBSFD,2022-03-20,320
GBSOU,2017-12-17,497
GBSOU,2018-04-29,395
GBWID,2020-03-08,445
GBWID,2023-09-10,331
GBBFS,2024-03-03,61
GBDCT,2018-03-04,196
GBLGP,2022-09-04,1567
GBSSH,2017-07-09,138
GBSSH,2022-10-23,127
GBWID,2020-10-11,485
GBWID,2024-09-22,452
GBDCT,2023-03-12,46
GBGMO,2021-01-03,34
GBBFS,2018-03-04,118
GBBFS,2024-02-18,91
GBCDF,2023-08-06,54
GBDCT,2017-05-07,412
GBFXS,2023-02-19,3380
GBGMO,2018-01-14,167
GBLDS,2018-03-11,267
GBLGP,2019-04-14,1476
GBLGP,2020-06-28,1382
GBLPL,2022-12-04,435
GBMNC,2017-11-05,764
GBMNC,2020-04-12,205
GBSFD,2019-12-01,186
GBSFD,2023-08-06,485
GBSOU,2022-11-06,522
GBSOU,2023-02-19,687
GBSOU,2023-04-09,619
GBSSH,2023-01-08,82
GBSSH,2024-09-15,135
GBTEE,2022-01-02,194
GBTEE,2022-06-05,66
GBWID,2017-11-12,640
GBCDF,2021-02-21,129
GBTEE,2021-12-12,155
GBTEE,2022-08-07,246
GBWID,2019-04-28,395
GBDPT,2021-09-12,55
GBSFD,2021-05-23,324
GBDPT,2020-04-12,36
GBSSH,2022-08-28,109
GBCDF,2018-03-11,1
GBSSH,2022-12-18,129
GBDPT,2020-07-12,2
GBDCT,2021-07-18,157
GBDPT,2021-10-03,90
GBDPT,2023-01-29,119
GBFXS,2020-09-13,5768
GBGMO,2021-01-17,293
GBLDS,2017-05-07,358
GBLGP,2021-06-06,1986
GBMNC,2024-06-16,309
GBSFD,2022-10-23,337
GBTEE,2017-08-20,175
GBTEE,2018-06-10,244
GBWID,2017-07-30,495
GBWID,2018-09-16,702
GBBFS,2020-03-29,208
GBBFS,2021-02-21,61
GBBFS,2022-09-18,68
GBBFS,2022-10-23,89
GBBGH,2023-10-08,545
GBDPT,2022-09-25,125
GBSSH,2017-01-22,150
GBSSH,2023-01-15,221
GBGMO,2024-01-07,63
GBSFD,2024-03-31,405
GBWID,2017-07-02,167
GBCDF,2024-06-02,52
GBSSH,2023-06-04,105
GBBFS,2021-05-02,40
GBBGH,2020-04-12,352
GBBGH,2023-03-19,330
GBCDF,2019-12-22,158
GBDCT,2017-11-12,437
GBFXS,2017-12-31,1931
GBFXS,2018-04-15,3569
GBFXS,2020-06-28,4142
GBFXS,2022-11-27,2769
GBGMO,2022-11-13,102
GBGMO,2023-01-08,93
GBGMO,2023-11-12,92
GBLDS,2018-07-29,289
GBLPL,2019-06-23,585
GBLPL,2019-09-08,543
GBLPL,2021-07-25,475
GBLPL,2022-08-07,497
GBMNC,2019-10-06,433
GBMNC,2019-12-08,407
GBMNC,2020-08-23,428
GBMNC,2022-05-15,180
GBMNC,2022-12-18,237
GBMNC,2024-07-07,185
GBSFD,2020-06-28,76
GBSFD,2021-12-19,298
GBSOU,2021-02-21,358
GBTEE,2017-09-10,296
GBTEE,2018-05-13,265
GBTEE,2020-11-01,160
GBWID,2018-01-07,350
GBWID,2020-12-27,249
GBWID,2024-06-09,357
GBCDF,2023-09-24,46
GBMNC,2022-06-05,146
GBTEE,2024-02-11,188
GBWID,2023-09-03,362
GBWID,2024-05-12,375
GBSSH,2019-09-29,183
GBDPT,2018-07-29,8
GBBGH,2019-01-06,638
GBBGH,2021-09-12,475
GBCDF,2023-03-19,50
GBDCT,2019-02-17,380
GBFXS,2022-01-02,2072
GBFXS,2024-09-22,4056
GBLDS,2022-10-23,216
GBLGP,2017-08-13,979
GBLPL,2019-01-20,619
GBLPL,2022-08-14,441
GBLPL,2023-10-08,376
GBMNC,2019-12-22,400
GBMNC,2021-05-02,382
GBSFD,2018-12-09,215
GBSFD,2020-10-18,225
GBSOU,2020-04-05,303
GBSOU,2022-08-21,485
GBSOU,2022-12-25,469
GBSSH,2020-11-08,82
GBSSH,2024-04-07,86
GBTEE,2024-01-14,231
GBWID,2022-02-27,293
GBBFS,2022-09-25,67
GBBFS,2023-11-26,47
GBDPT,2023-08-13,198
GBGMO,2017-06-04,234
GBLDS,2022-01-09,164
GBLDS,2024-06-23,65
GBSFD,2022-12-25,225
GBSOU,2017-10-15,717
GBDPT,2024-08-25,241
GBSSH,2023-01-29,211
GBSSH,2020-08-16,125
GBBGH,2018-04-01,767
GBBGH,2024-06-09,456
GBCDF,2020-01-26,200
GBCDF,2023-05-28,57
GBDCT,2018-11-04,363
GBDCT,2019-04-14,298
GBFXS,2020-08-02,4941
GBGMO,2021-10-24,146
GBGMO,2023-04-23,184
GBLDS,2019-01-06,168
GBLDS,2022-12-11,105
GBLDS,2024-01-21,85
GBLDS,2024-11-17,161
GBLGP,2017-11-05,1888
GBLGP,2020-10-18,2080
GBLGP,2022-05-01,2318
GBLGP,2023-06-18,1564
GBLPL,2019-08-11,616
GBLPL,2021-05-30,360
GBMNC,2020-02-23,343
GBMNC,2020-09-27,500
GBSOU,2018-12-02,177
GBSOU,2022-03-06,488
GBSSH,2017-08-06,109
GBSSH,2020-07-12,168
GBTEE,2018-04-29,333
GBTEE,2024-02-25,107
GBBFS,2017-08-20,225
GBBFS,2023-06-18,103
GBBGH,2020-04-19,391
GBDCT,2024-06-30,122
GBGMO,2018-11-25,239
GBGMO,2019-06-30,197
GBLGP,2023-08-06,1341
GBSOU,2024-09-15,581
GBBFS,2024-05-12,61
GBBGH,2021-02-28,486
GBBGH,2022-05-01,558
GBCDF,2024-02-04,40
GBDCT,2018-01-21,450
GBDCT,2021-03-14,262
GBFXS,2018-05-20,4088
GBFXS,2021-04-25,4712
GBFXS,2021-07-11,5593
GBFXS,2024-03-24,4171
GBFXS,2024-06-30,3570
GBGMO,2019-11-24,306
GBGMO,2023-08-13,154
GBLGP,2017-07-02,1273
GBLGP,2022-04-10,2137
GBLGP,2022-07-24,2523
GBLGP,2024-06-16,1931
GBLGP,2024-07-07,1701
GBMNC,2017-10-15,816
GBMNC,2024-11-24,331
GBSFD,2018-09-02,147
GBSFD,2020-07-26,120
GBSOU,2017-05-21,605
GBSOU,2019-03-03,217
GBSOU,2019-03-10,153
GBTEE,2019-01-13,218
GBTEE,2020-08-02,215
GBWID,2019-09-29,576
GBWID,2021-12-12,362
GBGMO,2017-01-08,55
GBSSH,2020-12-13,126
GBSSH,2022-11-20,162
GBWID,2023-09-17,325
GBBGH,2017-12-31,310
GBDPT,2023-09-10,211
GBLPL,2023-12-24,99
GBSOU,2018-04-15,517
GBBFS,2024-04-07,132
GBBGH,2019-10-27,740
GBBGH,2021-09-19,515
GBBGH,2022-08-21,634
GBDCT,2017-04-16,359
GBDCT,2019-02-24,377
GBDCT,2021-06-20,164
GBDCT,2024-06-09,122
GBDPT,2020-02-09,72
GBDPT,2022-03-20,79
GBFXS,2021-03-28,5171
GBGMO,2017-02-19,182
GBGMO,2019-07-28,304
GBGMO,2022-01-02,46
GBLDS,2023-06-11,151
GBLDS,2023-08-13,155
GBLGP,2017-12-03,1196
GBLGP,2019-09-08,1388
GBLPL,2017-02-05,315
GBLPL,2018-11-18,690
GBLPL,2021-04-25,510
GBLPL,2024-05-05,192
GBMNC,2021-05-23,412
GBSFD,2023-06-11,431
GBSFD,2023-09-03,394
GBSSH,2017-12-10,151
GBTEE,2018-04-22,352
GBTEE,2019-12-01,154
GBTEE,2024-03-24,272
GBWID,2018-06-10,586
GBBFS,2023-12-17,128
GBDCT,2024-12-15,83
GBLDS,2023-05-21,187
GBLGP,2021-12-12,2198
GBSFD,2020-01-05,100
GBLPL,2022-10-09,357
GBSFD,2024-03-17,396
GBBFS,2023-05-21,124
GBBGH,2018-05-20,766
GBBGH,2020-04-05,253
GBDCT,2021-07-04,165
GBDCT,2022-08-28,29
GBGMO,2022-10-23,136
GBLDS,2020-03-15,188
GBLDS,2020-04-19,150
GBLPL,2024-03-31,281
GBSFD,2022-11-13,353
GBSOU,2018-03-25,350
GBSOU,2019-02-24,154
GBSOU,2022-01-23,385
GBSOU,2022-12-04,281
GBSSH,2024-05-19,162
GBTEE,2023-03-26,173
GBWID,2017-09-10,554
GBWID,2019-07-28,532
GBDCT,2023-12-10,89
GBSSH,2024-09-08,74
GBTEE,2018-01-21,342
GBWID,2018-12-23,592
GBWID,2021-04-11,421
GBDCT,2024-10-20,171
GBLPL,2024-03-10,403
GBMNC,2024-10-13,296
GBCDF,2024-02-18,40
GBSSH,2023-07-23,88
GBCDF,2017-03-05,1
GBBFS,2019-07-07,219
GBBFS,2019-09-01,185
GBBGH,2017-06-11,1117
GBBGH,2021-10-17,528
GBCDF,2020-03-08,184
GBDCT,2017-10-01,457
GBDCT,2018-07-29,383
GBDCT,2020-10-04,310
GBDPT,2022-07-17,127
GBGMO,2024-11-17,101
GBLDS,2017-03-12,412
GBLDS,2018-06-03,231
GBLDS,2023-10-01,187
GBLGP,2017-10-08,1583
GBMNC,2018-08-19,427
GBMNC,2023-01-08,184
GBSOU,2017-10-29,375
GBTEE,2018-11-18,299
GBTEE,2022-07-03,254
GBWID,2024-01-21,297
GBWID,2024-02-11,411
GBCDF,2019-07-07,108
GBCDF,2023-11-12,34
GBCDF,2024-03-31,72
GBLPL,2024-10-06,428
GBSFD,2024-09-08,324
GBCDF,2021-01-17,142
GBDCT,2024-01-14,116
GBSSH,2024-01-14,106
GBLDS,2024-08-18,117
GBBFS,2018-06-03,158
GBBFS,2024-09-22,127
GBBGH,2024-03-24,532
GBDCT,2019-06-02,270
GBDPT,2024-08-04,282
GBFXS,2017-03-26,2559
GBFXS,2024-09-01,2260
GBFXS,2024-11-17,3678
GBGMO,2018-09-16,246
GBGMO,2024-02-25,127
GBLDS,2018-04-15,276
GBLDS,2019-09-08,294
GBLDS,2020-04-05,94
GBLDS,2022-06-05,110
GBLGP,2022-10-16,1843
GBLPL,2019-07-14,419
GBLPL,2024-04-14,405
GBMNC,2021-10-03,365
GBWID,2018-07-29,652
GBBFS,2020-04-19,69
GBBFS,2022-05-29,75
GBDPT,2024-06-23,219
GBLDS,2017-12-10,317
GBLDS,2019-12-29,75
GBSOU,2021-06-06,458
GBSOU,2023-03-12,850
GBBFS,2019-03-10,195
GBBFS,2022-06-12,87
GBCDF,2019-06-16,145
GBDCT,2018-04-15,243
GBDCT,2021-06-27,181
GBDPT,2023-08-20,206
GBDPT,2024-09-08,210
GBFXS,2018-03-11,5040
GBFXS,2023-09-03,2757
GBGMO,2020-06-14,168
GBLDS,2018-01-14,365
GBLDS,2018-09-30,271
GBLGP,2019-03-24,1700
GBLPL,2020-02-09,557
GBLPL,2020-11-15,426
GBMNC,2019-02-24,514
GBMNC,2019-07-28,447
GBMNC,2021-01-10,356
GBMNC,2024-09-08,211
GBSOU,2017-11-26,554
GBSOU,2018-09-30,371
GBSSH,2017-09-10,176
GBCDF,2021-01-24,73
GBDCT,2023-04-02,32
GBDCT,2024-09-01,72
GBSFD,2024-09-22,281
GBTEE,2020-09-20,273
GBWID,2024-06-02,402
GBCDF,2017-10-01,0
GBBFS,2018-06-10,117
GBBFS,2022-04-17,59
GBBGH,2017-06-18,1180
GBDCT,2021-08-29,134
GBDCT,2024-10-06,126
GBFXS,2017-02-05,3897
GBFXS,2020-10-11,4967
GBGMO,2017-05-14,207
GBGMO,2020-11-01,195
GBGMO,2021-02-07,233
GBGMO,2022-02-13,182
GBLDS,2021-09-12,98
GBLDS,2023-10-29,168
GBLGP,2021-07-04,2065
GBLPL,2017-09-17,304
GBLPL,2020-07-19,401
GBSFD,2019-03-31,168
GBSFD,2024-03-03,397
GBSOU,2019-03-31,236
GBSOU,2020-01-12,132
GBSSH,2021-02-21,145
GBTEE,2017-04-23,195
GBTEE,2019-10-27,246
GBTEE,2020-09-13,289
GBTEE,2022-05-01,222
GBWID,2019-05-12,396
GBWID,2020-08-02,350
GBBFS,2020-02-16,110
GBLDS,2020-02-02,226
GBSSH,2020-09-20,103
GBSSH,2020-12-27,47
GBMNC,2023-12-24,248
GBWID,2024-05-05,389
GBTEE,2022-04-03,136
GBCDF,2017-09-10,4
GBCDF,2018-03-25,1
GBBFS,2020-01-05,129
GBBFS,2023-10-01,105
GBBGH,2023-07-02,458
GBDCT,2018-05-13,335
GBDPT,2023-07-02,191
GBFXS,2020-06-21,3959
GBGMO,2017-01-22,148
GBGMO,2017-07-02,228
GBGMO,2022-11-20,103
GBGMO,2023-06-11,172
GBLDS,2017-02-26,282
GBLDS,2018-04-29,368
GBLGP,2017-07-23,1148
GBLGP,2020-07-05,1142
GBMNC,2020-11-08,472
GBMNC,2023-01-15,321
GBSSH,2017-11-19,221
GBSSH,2024-11-24,110
GBSSH,2024-12-22,169
GBTEE,2018-04-01,236
GBTEE,2019-06-23,263
GBTEE,2021-12-05,298
GBTEE,2024-09-15,148
GBWID,2018-03-04,329
GBBGH,2024-09-22,459
GBCDF,2023-08-13,46
GBDPT,2020-06-28,4
GBLDS,2017-08-06,348
GBBFS,2018-12-09,119
GBBGH,2019-01-27,926
GBBGH,2020-06-14,392
GBBGH,2023-05-07,451
GBCDF,2019-04-28,105
GBCDF,2023-05-21,78
GBDCT,2020-06-28,199
GBDPT,2023-02-26,203
