pool,week,import
GBLDS,2018-01-21,363
GBLDS,2020-02-23,158
GBLDS,2023-08-06,147
GBMNC,2017-06-18,777
GBTEE,2018-10-07,354
GBWID,2023-05-14,373
GBWID,2024-04-28,302
GBLPL,2023-05-21,389
GBSFD,2022-01-30,333
GBBFS,2017-03-05,154
GBBFS,2019-01-06,92
GBCDF,2021-11-28,104
GBCDF,2024-07-07,25
GBDCT,2021-12-19,85
GBDPT,2021-07-04,83
GBDPT,2021-10-17,106
GBDPT,2022-02-27,86
GBGMO,2018-08-12,203
GBLDS,2023-08-27,150
GBLDS,2024-03-10,110
GBLGP,2021-11-21,2219
GBLGP,2024-07-21,1184
GBLPL,2021-12-05,402
GBMNC,2017-01-29,626
GBMNC,2021-09-19,358
GBMNC,2023-12-31,77
GBSFD,2017-05-14,176
GBSFD,2017-10-01,174
GBSFD,2021-11-14,351
GBSSH,2024-12-08,108
GBTEE,2022-02-06,296
GBTEE,2022-04-17,344
GBTEE,2023-11-19,205
GBWID,2018-04-22,486
GBWID,2024-05-19,414
GBCDF,2019-03-17,67
GBLDS,2019-07-14,303
GBLPL,2022-06-19,436
GBLPL,2022-10-16,219
GBLPL,2023-12-10,408
GBMNC,2024-09-29,343
GBSOU,2017-09-03,390
GBSSH,2017-01-15,159
GBSSH,2017-05-28,166
GBTEE,2019-07-07,254
GBWID,2023-12-17,408
GBMNC,2022-01-02,88
GBBFS,2024-06-23,50
GBBGH,2018-08-12,827
GBBGH,2019-06-30,732
GBBGH,2024-03-17,405
GBCDF,2024-03-03,64
GBDCT,2017-12-31,112
GBDCT,2023-04-23,63
GBDPT,2022-07-24,143
GBFXS,2018-05-06,4162
GBFXS,2019-12-22,4558
GBFXS,2020-05-03,4132
GBFXS,2021-02-14,3869
GBFXS,2023-06-18,2737
GBLDS,2017-12-17,329
GBLDS,2021-02-07,183
GBLGP,2020-11-01,1508
GBLGP,2021-08-15,1506
GBLGP,2024-06-02,1803
GBLPL,2020-03-01,578
GBLPL,2021-10-03,470
GBLPL,2024-01-14,450
GBMNC,2018-04-29,542
GBMNC,2018-09-23,414
GBMNC,2019-10-13,433
GBMNC,2023-07-16,267
GBSOU,2019-08-11,157
GBSOU,2022-07-24,325
GBSOU,2024-10-06,564
GBTEE,2018-03-11,256
GBTEE,2022-05-08,212
GBTEE,2023-12-17,182
GBWID,2022-04-10,348
GBCDF,2023-01-22,60
GBMNC,2024-12-29,44
GBSOU,2024-04-07,589
GBBFS,2019-11-03,128
GBBGH,2019-02-17,743
GBBGH,2020-10-18,636
GBBGH,2021-01-10,509
GBBGH,2022-07-17,504
GBBGH,2022-08-28,404
GBCDF,2019-06-02,82
GBCDF,2021-01-10,108
GBCDF,2021-07-25,108
GBDCT,2017-05-28,512
GBFXS,2019-03-31,4084
GBFXS,2021-06-27,6217
GBFXS,2022-08-14,3137
GBGMO,2018-03-25,260
GBGMO,2019-08-18,263
GBLGP,2020-02-16,1227
GBLGP,2020-05-31,1109
GBLGP,2022-07-17,2031
GBLPL,2020-06-28,431
GBLPL,2022-05-01,542
GBMNC,2018-06-24,457
GBMNC,2018-12-23,434
GBMNC,2021-11-28,390
GBMNC,2023-08-13,233
GBSFD,2019-08-11,206
GBSOU,2018-07-22,528
GBSSH,2024-08-18,109
GBTEE,2017-01-15,189
GBWID,2018-10-07,707
GBWID,2023-05-07,348
GBBGH,2018-07-22,749
GBDCT,2023-10-01,102
GBDPT,2023-11-26,153
GBLPL,2018-04-01,510
GBWID,2023-12-24,317
GBBFS,2021-01-24,121
GBTEE,2021-03-21,304
GBBFS,2022-01-02,24
GBDPT,2018-07-15,7
GBBFS,2017-07-16,42
GBCDF,2019-08-11,150
GBCDF,2019-10-20,160
GBCDF,2020-10-04,79
GBCDF,2021-12-19,51
GBDCT,2018-10-21,389
GBDCT,2023-03-19,53
GBDPT,2023-04-02,153
GBFXS,2017-05-21,3980
GBFXS,2021-09-12,6122
GBFXS,2022-05-08,3658
GBGMO,2017-04-23,146
GBGMO,2019-01-06,175
GBLDS,2019-01-27,360
GBLGP,2018-10-07,1114
GBLGP,2019-05-05,1571
GBLGP,2019-08-04,1430
GBLGP,2020-01-26,1452
GBLGP,2022-02-27,2000
GBLPL,2018-03-25,452
GBLPL,2018-05-06,564
GBLPL,2018-12-09,697
GBMNC,2021-07-25,287
GBSOU,2017-06-11,321
GBSOU,2020-11-01,331
GBSSH,2018-02-18,198
GBSSH,2019-02-17,216
GBSSH,2020-06-07,69
GBSSH,2024-04-14,73
GBTEE,2024-02-18,140
GBTEE,2024-12-08,141
GBWID,2017-12-03,678
GBWID,2019-08-18,635
GBWID,2021-08-22,421
GBWID,2024-03-24,352
GBCDF,2024-08-04,65
GBGMO,2022-05-08,78
GBLPL,2017-05-07,259
GBLPL,2024-05-19,358
GBCDF,2017-10-22,1
GBLPL,2023-06-04,238
GBTEE,2023-01-08,144
GBBFS,2022-03-27,72
GBBFS,2018-02-25,195
GBBFS,2020-06-14,87
GBBGH,2018-04-29,882
GBCDF,2022-11-13,90
GBDCT,2022-05-15,48
GBFXS,2021-05-02,5394
GBFXS,2021-08-29,5856
GBGMO,2019-10-13,303
GBGMO,2021-06-13,216
GBLDS,2021-03-28,224
GBLDS,2021-05-30,172
GBLDS,2021-08-08,162
GBLDS,2024-09-08,71
GBLGP,2020-03-01,1274
GBLPL,2023-05-14,394
GBMNC,2020-04-26,400
GBSOU,2020-03-29,334
GBSSH,2018-11-25,186
GBSSH,2022-12-25,144
GBTEE,2018-08-12,260
GBTEE,2024-12-15,134
GBWID,2017-08-06,506
GBWID,2018-05-27,506
GBWID,2023-04-16,331
GBBFS,2017-01-29,121
GBDPT,2020-03-01,45
GBLPL,2019-12-01,594
GBTEE,2021-10-10,327
GBBGH,2024-05-05,555
GBCDF,2017-11-12,1
GBSSH,2017-10-29,130
GBBFS,2020-03-15,220
GBBFS,2021-11-07,97
GBBGH,2017-09-17,1168
GBBGH,2020-02-09,506
GBBGH,2024-03-31,488
GBCDF,2021-03-14,86
GBDCT,2017-10-29,431
GBDPT,2020-08-23,76
GBFXS,2019-01-13,4138
GBFXS,2020-02-02,4418
GBGMO,2020-06-21,156
GBLDS,2020-03-29,94
GBLGP,2020-04-05,1054
GBLGP,2023-04-30,1735
GBLPL,2017-03-19,215
GBLPL,2017-09-10,370
GBLPL,2020-07-05,429
GBMNC,2021-11-14,303
GBSFD,2020-11-22,146
GBSFD,2021-07-04,365
GBSOU,2020-11-22,297
GBSOU,2021-02-28,381
GBSSH,2019-01-20,220
GBSSH,2020-12-20,188
GBTEE,2020-02-02,204
GBTEE,2021-01-24,167
GBTEE,2023-04-09,53
GBWID,2019-12-22,437
GBFXS,2022-09-11,3688
GBGMO,2020-04-05,155
GBSFD,2021-09-12,293
GBSFD,2023-06-25,383
GBSFD,2024-06-30,231
GBWID,2017-12-10,645
GBDCT,2024-08-18,100
GBMNC,2024-06-02,214
GBGMO,2024-04-28,116
GBTEE,2024-11-03,103
GBBFS,2025-01-12,100
GBDCT,2018-01-14,484
GBFXS,2019-07-21,5274
GBFXS,2019-11-17,4276
GBFXS,2022-07-24,4192
GBGMO,2019-07-21,294
GBGMO,2024-03-03,78
GBLDS,2018-11-11,233
GBLGP,2018-05-13,2012
GBLGP,2024-01-07,1035
GBLPL,2022-04-03,415
GBLPL,2024-07-07,307
GBMNC,2018-06-03,330
GBMNC,2018-09-30,408
GBMNC,2019-08-04,400
GBMNC,2024-09-15,224
GBSFD,2018-02-11,194
GBSFD,2022-12-18,265
GBSSH,2020-01-19,182
GBSSH,2020-07-19,158
GBTEE,2018-01-28,272
GBWID,2021-02-14,474
GBWID,2022-11-20,353
GBCDF,2024-10-20,91
GBDPT,2021-02-14,44
GBLPL,2017-11-12,315
GBLPL,2017-05-21,189
GBMNC,2020-07-19,420
GBCDF,2018-10-21,0
GBCDF,2018-07-15,13
GBBGH,2017-01-08,930
GBBGH,2021-05-16,590
GBBGH,2021-12-05,549
GBBGH,2023-02-19,626
GBDCT,2017-01-15,408
GBDCT,2020-07-05,235
GBDPT,2022-06-12,82
GBGMO,2019-04-07,242
GBGMO,2019-06-23,296
GBGMO,2020-11-15,182
GBLPL,2021-11-07,461
GBLPL,2023-10-29,259
GBMNC,2017-07-23,651
GBMNC,2020-08-02,474
GBMNC,2021-04-11,167
GBSFD,2023-12-24,344
GBSOU,2018-09-16,408
GBSSH,2023-12-03,139
GBWID,2018-03-25,501
GBWID,2019-04-07,486
GBBFS,2021-08-01,115
GBDCT,2022-01-16,139
GBDPT,2024-07-14,301
GBLGP,2017-03-19,1529
GBMNC,2018-02-25,661
GBWID,2021-06-13,406
GBMNC,2021-09-05,185
GBTEE,2019-12-08,157
GBDPT,2020-05-31,3
GBBFS,2017-08-06,193
GBBFS,2018-08-26,137
GBDCT,2018-11-25,379
GBDCT,2018-12-23,428
GBFXS,2019-11-03,4718
GBFXS,2020-12-06,5941
GBFXS,2024-10-13,3711
GBGMO,2019-06-09,314
GBGMO,2019-08-25,243
GBLDS,2020-01-12,309
GBLDS,2021-01-24,193
GBLGP,2019-10-06,1290
GBLGP,2020-09-06,1508
GBLGP,2022-12-11,1643
GBLGP,2023-03-05,1766
GBLPL,2019-08-04,426
GBLPL,2021-05-23,426
GBSOU,2018-11-04,244
GBSOU,2020-09-27,359
GBSOU,2021-09-05,329
GBSOU,2024-08-25,498
GBSSH,2017-09-17,150
GBSSH,2021-08-22,101
GBWID,2022-05-15,175
GBDCT,2023-07-30,68
GBLDS,2021-02-14,116
GBLDS,2024-02-25,201
GBLPL,2023-03-12,393
GBMNC,2017-12-03,687
GBLPL,2024-07-21,534
GBTEE,2017-07-02,291
GBDCT,2023-08-06,70
GBSSH,2021-07-04,87
GBBFS,2025-01-05,67
GBCDF,2017-06-11,0
GBBFS,2018-11-25,165
GBBFS,2020-09-27,145
GBBGH,2017-11-26,1043
GBBGH,2018-11-04,909
GBCDF,2021-07-18,81
GBDPT,2020-10-25,72
GBFXS,2017-09-17,4602
GBFXS,2020-07-19,4625
GBGMO,2022-06-12,209
GBGMO,2023-05-28,207
GBSFD,2018-06-03,150
GBSFD,2018-12-23,224
GBSOU,2018-05-06,379
GBSOU,2018-06-17,243
GBSOU,2021-07-04,614
GBSSH,2019-04-14,205
GBTEE,2021-04-04,219
GBSFD,2019-09-29,195
GBSOU,2025-01-05,536
GBWID,2022-01-30,264
GBDPT,2018-11-04,3
GBWID,2024-07-21,413
GBCDF,2017-01-29,0
GBCDF,2018-05-13,1
GBBFS,2019-03-31,126
GBBGH,2020-03-08,591
GBBGH,2024-02-18,491
GBBGH,2024-11-10,672
GBCDF,2019-05-26,100
GBCDF,2021-09-12,103
GBCDF,2023-10-08,70
GBDCT,2017-09-10,497
GBDCT,2017-10-15,554
GBDPT,2020-03-29,66
GBFXS,2021-04-18,5872
GBFXS,2022-05-01,3900
GBLDS,2017-04-16,319
GBLDS,2020-11-15,155
GBLDS,2023-06-25,137
GBLGP,2024-06-09,1613
GBLPL,2017-09-24,366
GBMNC,2024-06-23,195
GBSSH,2018-02-25,182
GBTEE,2018-03-04,208
GBTEE,2018-03-18,284
GBDPT,2023-02-19,202
GBLDS,2020-01-26,282
GBSFD,2023-07-23,460
GBSFD,2024-04-21,297
GBSOU,2019-11-10,91
GBSSH,2021-01-10,101
GBTEE,2021-01-17,266
GBSFD,2020-08-02,144
GBSSH,2022-11-06,161
GBTEE,2019-01-27,218
GBCDF,2024-12-29,21
GBBFS,2018-03-11,239
GBBFS,2018-09-09,154
GBBFS,2020-08-30,160
GBBFS,2021-01-31,123
GBBFS,2024-02-25,61
GBBGH,2023-04-16,454
